instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
512;0.000915;;0.001938;
512;0.001246;;0.004501;
512;0.001257;;0.001749;
512;0.001293;;0.002055;
512;0.000888;;0.004532;
512;0.001179;;0.001213;
512;0.000937;;0.003058;
512;0.000909;;0.000938;
512;0.001220;;0.000779;
512;0.000970;;0.001644;
512;0.000882;;0.001411;
512;0.001518;;0.003886;
512;0.000868;;0.002010;
512;0.000748;;0.000961;
512;0.001000;;0.001656;
512;0.000929;;0.001226;
512;0.001153;;0.008081;
512;0.000863;;0.005154;
512;0.001236;;0.001610;
512;0.001113;;0.002451;
1024;0.002877;;0.023244;
1024;0.001105;;0.009660;
1024;0.000972;;0.014474;
1024;0.001403;;0.008399;
1024;0.001055;;0.020452;
1024;0.001405;;0.006028;
1024;0.001237;;0.005160;
1024;0.000984;;0.007062;
1024;0.001046;;0.009508;
1024;0.002423;;0.015302;
1024;0.001765;;0.009699;
1024;0.001203;;0.005828;
1024;0.001259;;0.007055;
1024;0.001250;;0.006833;
1024;0.001521;;0.007029;
1024;0.001079;;0.004347;
1024;0.001217;;0.006738;
1024;0.001041;;0.008523;
1024;0.001257;;0.009975;
1024;0.001088;;0.007889;
1024;0.001061;;0.006294;
1024;0.001277;;0.011420;
1024;0.001279;;0.014108;
1024;0.001236;;0.010665;
1024;0.001003;;0.009305;
1024;0.000912;;0.008156;
1024;0.001117;;0.007410;
1024;0.001137;;0.010243;
1024;0.001399;;0.006687;
1024;0.002058;;0.003265;
1024;0.001231;;0.007400;
1024;0.001104;;0.014545;
1024;0.001854;;0.008585;
1024;0.001322;;0.019299;
1024;0.001194;;0.005462;
1024;0.001051;;0.006640;
1024;0.001122;;0.010551;
1024;0.001479;;0.010356;
1024;0.001215;;0.005280;
1024;0.001015;;0.012527;
1024;0.001112;;0.006665;
1024;0.000998;;0.006705;
1024;0.001044;;0.020315;
1024;0.001519;;0.016926;
1024;0.001762;;0.002709;
1024;0.003278;;0.008936;
1024;0.001460;;0.011578;
1024;0.001025;;0.031370;
1024;0.001300;;0.008067;
1024;0.001186;;0.011566;
1024;0.002316;;0.009747;
1024;0.001302;;0.003780;
1024;0.001504;;0.009389;
1024;0.001474;;0.010908;
1024;0.001165;;0.008178;
1024;0.001402;;0.003403;
1024;0.001077;;0.004354;
1024;0.000983;;0.011289;
1024;0.000945;;0.003824;
1024;0.001049;;0.010959;
1024;0.001332;;0.007765;
1024;0.001976;;0.012023;
1024;0.001321;;0.006852;
1024;0.000910;;0.009177;
