instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
512;0.000820;;0.022376;
512;0.001435;;0.026657;
512;0.001312;;0.026180;
512;0.001154;;0.026787;
512;0.001157;;0.020079;
512;0.001431;;0.023338;
512;0.000901;;0.025141;
512;0.001125;;0.029610;
512;0.000991;;0.029960;
512;0.001181;;0.020484;
512;0.001007;;0.026603;
512;0.001576;;0.023038;
512;0.001208;;0.024984;
512;0.001253;;0.028245;
512;0.001017;;0.024337;
512;0.001625;;0.035727;
512;0.001350;;0.033422;
512;0.002150;;0.023917;
512;0.002324;;0.025604;
1024;0.001144;;0.075968;
1024;0.001455;;0.051461;
1024;0.001169;;0.058765;
1024;0.001110;;0.055512;
1024;0.001593;;0.053731;
1024;0.001259;;0.056023;
1024;0.000967;;0.050995;
1024;0.001311;;0.053223;
1024;0.000914;;0.053474;
1024;0.001098;;0.048266;
1024;0.001078;;0.052000;
1024;0.001717;;0.060672;
1024;0.001129;;0.059331;
1024;0.000970;;0.053465;
1024;0.000844;;0.047372;
1024;0.001401;;0.059888;
1024;0.001768;;0.114574;
1024;0.000963;;0.049370;
1024;0.000978;;0.053214;
1024;0.001322;;0.055500;
1024;0.001469;;0.057532;
1024;0.001204;;0.050873;
1024;0.000987;;0.050009;
1024;0.001226;;0.057211;
1024;0.001123;;0.045375;
1024;0.001554;;0.058311;
1024;0.001251;;0.053030;
1024;0.001600;;0.055479;
1024;0.001235;;0.055891;
1024;0.001103;;0.054570;
1024;0.001149;;0.042883;
1024;0.001396;;0.048318;
1024;0.000856;;0.057368;
1024;0.001172;;0.057535;
1024;0.001273;;0.057516;
1024;0.001224;;0.056502;
1024;0.001526;;0.056233;
1024;0.001045;;0.059733;
1024;0.000975;;0.056388;
1024;0.001414;;0.048428;
1024;0.000940;;0.054369;
1024;0.001548;;0.053942;
1024;0.000919;;0.055799;
1024;0.003041;;0.081311;
1024;0.001504;;0.060148;
1024;0.001192;;0.062813;
1024;0.001267;;0.058011;
1024;0.001194;;0.043987;
1024;0.003175;;0.073660;
1024;0.001729;;0.064992;
1024;0.001461;;0.033772;
1024;0.002280;;0.032592;
1024;0.002127;;0.064080;
1024;0.001998;;0.047081;
1024;0.001131;;0.102073;
1024;0.001503;;0.094140;
1024;0.001385;;0.053062;
1024;0.001391;;0.054784;
1024;0.001115;;0.053761;
1024;0.001057;;0.048051;
1024;0.001307;;0.052379;
1024;0.001709;;0.059563;
1024;0.001380;;0.078131;
1024;0.001497;;0.059641;
1024;0.002045;;0.048435;
1024;0.001519;;0.060306;
1024;0.001106;;0.045140;
1024;0.001287;;0.070599;
1024;0.001154;;0.088776;
1024;0.001671;;0.078795;
1024;0.001675;;0.049249;
1024;0.001215;;0.065632;
1024;0.000978;;0.053647;
1024;0.001145;;0.048165;
1024;0.001037;;0.057420;
1024;0.001474;;0.052195;
1024;0.000901;;0.043019;
1024;0.001003;;0.045268;
1024;0.001030;;0.051399;
1024;0.001607;;0.051203;
1024;0.001233;;0.046830;
1024;0.001315;;0.060281;
1024;0.001184;;0.062175;
1024;0.000907;;0.059693;
1024;0.000830;;0.040028;
1024;0.001582;;0.050669;
1024;0.000975;;0.044839;
1024;0.001217;;0.052676;
1024;0.001059;;0.056440;
1024;0.001336;;0.062144;
1024;0.001560;;0.053505;
1024;0.001218;;0.047723;
1024;0.001166;;0.056047;
1024;0.001422;;0.051399;
1024;0.001299;;0.057134;
1024;0.001214;;0.042345;
1024;0.001235;;0.052431;
1024;0.001067;;0.049447;
1024;0.001411;;0.061209;
1024;0.001183;;0.048839;
2048;0.001491;;0.139211;
2048;0.001160;;0.117622;
2048;0.001469;;0.110799;
2048;0.001468;;0.115339;
2048;0.001323;;0.104984;
2048;0.001438;;0.116494;
2048;0.001563;;0.109172;
2048;0.001513;;0.111280;
2048;0.001458;;0.162961;
2048;0.003268;;0.104541;
2048;0.001744;;0.105381;
2048;0.001214;;0.110173;
2048;0.001408;;0.119948;
2048;0.001179;;0.098112;
2048;0.001570;;0.096930;
2048;0.001099;;0.115246;
2048;0.001580;;0.106261;
2048;0.001619;;0.109901;
2048;0.001294;;0.114993;
2048;0.001023;;0.102138;
2048;0.001238;;0.109725;
2048;0.001117;;0.109920;
2048;0.001380;;0.114442;
2048;0.001130;;0.106936;
2048;0.001169;;0.112571;
2048;0.001773;;0.104935;
2048;0.001244;;0.107265;
2048;0.001196;;0.118455;
2048;0.001359;;0.107716;
2048;0.001384;;0.113824;
2048;0.001366;;0.110581;
2048;0.001375;;0.165791;
2048;0.001029;;0.108597;
2048;0.001100;;0.112780;
2048;0.001111;;0.108483;
2048;0.001262;;0.135577;
2048;0.001095;;0.117207;
2048;0.001128;;0.104537;
2048;0.001259;;0.106440;
2048;0.001829;;0.106711;
2048;0.001949;;0.105687;
2048;0.001274;;0.111082;
2048;0.001317;;0.102528;
2048;0.001276;;0.113689;
2048;0.001378;;0.109534;
2048;0.001324;;0.107220;
2048;0.001104;;0.113292;
2048;0.001365;;0.110387;
2048;0.001258;;0.121510;
2048;0.001274;;0.150909;
2048;0.000962;;0.101954;
2048;0.001333;;0.105132;
2048;0.001346;;0.103903;
2048;0.001259;;0.110196;
2048;0.001690;;0.090921;
2048;0.001232;;0.211143;
2048;0.002384;;0.129023;
2048;0.001885;;0.114559;
2048;0.001483;;0.114473;
2048;0.001033;;0.118752;
2048;0.001229;;0.101477;
2048;0.001423;;0.110841;
2048;0.001501;;0.105728;
2048;0.001371;;0.108805;
2048;0.001265;;0.119776;
2048;0.001098;;0.112103;
2048;0.001090;;0.097295;
2048;0.001628;;0.092614;
2048;0.001286;;0.108672;
2048;0.000988;;0.110654;
2048;0.001238;;0.106725;
2048;0.001425;;0.105084;
2048;0.001026;;0.107109;
2048;0.001679;;0.111841;
2048;0.001266;;0.109489;
2048;0.001498;;0.117501;
2048;0.001138;;0.103921;
2048;0.001560;;0.106739;
2048;0.001527;;0.106062;
2048;0.001165;;0.160254;
2048;0.001645;;0.104839;
2048;0.001168;;0.109683;
2048;0.001558;;0.102835;
2048;0.001505;;0.106163;
2048;0.001487;;0.092776;
2048;0.001548;;0.118407;
2048;0.001957;;0.101915;
2048;0.001866;;0.097872;
2048;0.001363;;0.115213;
2048;0.001676;;0.103503;
2048;0.001445;;0.105241;
2048;0.001382;;0.103327;
2048;0.001311;;0.110203;
2048;0.001881;;0.099710;
2048;0.001306;;0.105608;
2048;0.001418;;0.101635;
2048;0.001430;;0.108382;
2048;0.001212;;0.109058;
2048;0.001660;;0.110279;
2048;0.001068;;0.104864;
4096;0.002150;;0.273695;
4096;0.001499;;0.230957;
4096;0.001835;;0.219829;
4096;0.001589;;0.271358;
4096;0.002283;;0.269072;
4096;0.001416;;0.341123;
4096;0.001641;;0.223764;
