instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
512;;;1.236261;0.047680
512;;;1.043037;0.045111
512;;;1.004229;0.045873
512;;;1.029164;0.060501
512;;;1.020372;0.044288
512;;;0.984983;0.043744
512;;;1.047460;0.052825
1024;;;3.474390;0.097821
1024;;;3.360372;0.088891
1024;;;3.285773;0.093078
1024;;;3.321613;0.088943
1024;;;3.454645;0.087415
1024;;;3.283930;0.099503
1024;;;3.745436;0.097303
1024;;;3.594070;0.098530
1024;;;3.348271;0.100923
1024;;;3.328884;0.087596
1024;;;3.869444;0.105742
1024;;;3.365939;0.086598
1024;;;3.421043;0.090612
1024;;;3.554994;0.110721
1024;;;3.498474;0.090926
1024;;;3.780870;0.110637
1024;;;3.788321;0.105404
1024;;;3.272908;0.085181
1024;;;3.746719;0.094893
1024;;;3.408287;0.095550
1024;;;3.683096;0.096578
1024;;;3.709400;0.091588
1024;;;3.333371;0.089683
1024;;;3.277130;0.106180
1024;;;4.047872;0.087263
1024;;;3.355926;0.097311
1024;;;3.377403;0.087001
1024;;;3.395098;0.096485
1024;;;3.440696;0.092162
1024;;;3.471485;0.089455
1024;;;3.420345;0.087387
1024;;;3.330000;0.088778
1024;;;3.358456;0.095960
1024;;;3.900605;0.087402
1024;;;3.416099;0.092702
1024;;;3.965896;0.095597
1024;;;3.991756;0.104959
1024;;;3.824835;0.111853
1024;;;3.717696;0.113746
1024;;;3.408797;0.086891
1024;;;3.530517;0.094655
1024;;;3.535197;0.104606
1024;;;3.887578;0.104305
1024;;;3.842894;0.144857
1024;;;3.445127;0.097673
1024;;;3.532663;0.102834
1024;;;3.687289;0.110067
1024;;;3.892948;0.098550
1024;;;3.634116;0.093635
1024;;;3.743553;0.116328
1024;;;4.056440;0.116126
1024;;;4.048157;0.109698
1024;;;3.766055;0.103762
1024;;;3.661298;0.087821
1024;;;4.030749;0.099466
1024;;;3.435665;0.088812
1024;;;3.510242;0.100149
1024;;;3.538645;0.096735
1024;;;4.133838;0.100443
1024;;;3.748252;0.088334
1024;;;3.444151;0.087366
1024;;;3.427563;0.160752
1024;;;3.763043;0.111991
1024;;;3.701878;0.118834
1024;;;3.708666;0.155201
1024;;;3.889531;0.093578
